fact_id,source,gender,age,grade_letter,raisedhands,visited_resources,announcements_view,discussion,absence_days,stage,topic,gpa,absences,study_time,parental_education,parental_support,tutoring,g1,g2,g3,failures,medu,fedu,math_score,science_score,english_score,avg_score,lunch,test_prep,exam_score,attendance,hours_studied,motivation_level,internet_access,tutoring_sessions,parental_involvement,family_income,previous_scores,sleep_hours
17,xAPI,male,15,B,36,30,20,80,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
18,xAPI,male,14,A,55,13,35,90,above-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
19,xAPI,female,14,A,69,15,36,96,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
20,xAPI,male,15,A,70,50,40,99,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
21,xAPI,female,13,A,60,60,33,90,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
22,xAPI,female,12,B,10,12,4,80,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
23,xAPI,male,13,B,15,21,2,90,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
24,xAPI,male,15,D,2,0,2,50,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
25,xAPI,male,15,C,0,2,3,70,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
26,xAPI,male,13,D,8,7,30,40,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
27,xAPI,male,13,C,19,19,25,40,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
28,xAPI,male,12,C,25,15,12,33,above-7,middleschool,arabic,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
29,xAPI,male,13,A,75,85,52,43,under-7,middleschool,science,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
30,xAPI,female,15,A,30,90,33,35,under-7,middleschool,arabic,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
31,xAPI,female,12,A,35,80,50,70,under-7,middleschool,arabic,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
32,xAPI,male,14,D,4,5,40,16,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
33,xAPI,female,11,C,2,19,10,50,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
34,xAPI,male,10,C,8,22,9,40,above-7,lowerlevel,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
35,xAPI,male,13,C,12,11,8,40,above-7,middleschool,science,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
36,xAPI,male,15,D,10,12,17,30,above-7,middleschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
37,xAPI,male,12,D,8,6,4,22,above-7,middleschool,science,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
38,xAPI,female,12,A,45,54,26,90,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
39,xAPI,male,15,D,0,0,0,4,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
40,xAPI,female,12,A,50,90,37,70,under-7,middleschool,science,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
41,xAPI,female,14,C,14,13,3,70,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
42,xAPI,male,12,C,19,20,16,50,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
43,xAPI,male,16,D,10,12,7,33,above-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
44,xAPI,female,15,A,30,35,28,90,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
45,xAPI,female,18,A,33,33,30,90,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
46,xAPI,male,14,B,20,12,15,70,above-7,middleschool,quran,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
47,xAPI,male,10,D,7,10,1,30,above-7,lowerlevel,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
48,xAPI,female,16,A,70,4,39,90,under-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
49,xAPI,female,15,A,13,80,40,88,under-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
50,xAPI,female,16,B,29,39,50,77,under-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
51,xAPI,female,17,B,20,14,12,70,above-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
52,xAPI,male,16,B,39,15,16,50,above-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
53,xAPI,female,15,A,55,90,16,40,under-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
54,xAPI,female,17,A,49,70,19,75,under-7,highschool,science,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
55,xAPI,male,15,C,12,50,8,30,above-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
56,xAPI,male,12,D,16,14,6,20,above-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
57,xAPI,male,14,D,19,5,4,1,above-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
58,xAPI,male,13,D,5,2,6,5,above-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
59,xAPI,male,15,B,28,60,19,50,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
60,xAPI,female,15,C,27,22,22,40,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
61,xAPI,female,11,D,21,10,28,20,above-7,lowerlevel,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
62,xAPI,male,18,A,50,70,32,40,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
63,xAPI,male,17,A,80,90,70,80,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
64,xAPI,male,17,D,17,13,16,12,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
65,xAPI,male,16,D,0,5,7,2,above-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
66,xAPI,male,15,D,13,5,18,19,above-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
67,xAPI,female,15,C,25,10,19,30,above-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
68,xAPI,female,17,A,65,75,23,80,under-7,highschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
69,xAPI,female,17,A,70,69,35,30,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
70,xAPI,male,14,B,39,40,11,33,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
71,xAPI,male,13,C,22,30,10,12,above-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
72,xAPI,male,13,C,29,22,9,20,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
73,xAPI,male,12,D,11,2,2,8,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
74,xAPI,female,15,C,19,30,26,19,above-7,middleschool,english,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
75,xAPI,male,15,D,12,0,6,13,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
76,xAPI,male,12,A,50,90,29,60,under-7,middleschool,quran,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
77,xAPI,male,16,B,15,70,37,44,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
78,xAPI,male,18,B,20,80,33,33,under-7,highschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
79,xAPI,male,15,D,13,3,11,9,above-7,highschool,quran,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
80,xAPI,female,13,A,80,90,49,55,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
81,xAPI,male,13,C,8,15,10,40,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
82,xAPI,male,12,B,8,25,1,70,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
83,xAPI,male,11,C,7,5,2,80,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
84,xAPI,male,11,C,7,4,10,50,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
85,xAPI,male,12,B,50,70,50,10,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
86,xAPI,male,10,D,1,0,1,12,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
87,xAPI,male,11,B,70,12,40,50,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
88,xAPI,male,10,B,19,70,3,50,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
89,xAPI,female,11,D,3,12,4,33,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
90,xAPI,male,10,C,5,20,1,50,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
91,xAPI,male,10,C,4,8,10,60,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
92,xAPI,male,12,A,80,90,55,19,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
93,xAPI,female,12,B,50,70,19,15,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
94,xAPI,male,11,A,55,89,40,40,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
95,xAPI,female,11,B,80,44,35,10,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
96,xAPI,female,10,A,100,80,2,70,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
97,xAPI,female,10,B,14,60,11,75,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
98,xAPI,female,12,D,6,2,38,12,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
99,xAPI,female,12,D,10,3,0,30,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
100,xAPI,male,10,B,50,7,9,50,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
101,xAPI,male,10,A,50,90,40,90,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
102,xAPI,female,10,A,70,92,50,7,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
103,xAPI,female,12,D,2,6,2,8,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
104,xAPI,male,10,D,1,7,6,10,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
105,xAPI,male,10,D,0,12,3,3,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
106,xAPI,female,11,C,0,0,5,80,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
107,xAPI,female,11,C,12,26,7,40,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
108,xAPI,male,11,A,70,90,41,33,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
109,xAPI,male,10,D,7,12,5,3,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
110,xAPI,male,11,A,90,70,30,14,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
111,xAPI,female,10,A,70,88,55,40,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
112,xAPI,male,10,A,77,80,51,80,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
113,xAPI,male,10,D,2,5,3,50,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
114,xAPI,male,12,B,25,27,0,69,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
115,xAPI,male,12,C,11,2,0,50,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
116,xAPI,male,12,C,0,8,11,70,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
117,xAPI,female,12,A,77,80,12,19,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
118,xAPI,female,10,C,25,29,40,17,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
119,xAPI,female,12,C,24,35,23,22,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
120,xAPI,male,10,A,60,60,3,60,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
121,xAPI,male,10,C,21,12,0,50,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
122,xAPI,male,12,D,0,4,8,30,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
123,xAPI,female,12,A,66,90,55,12,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
124,xAPI,female,12,A,70,98,7,5,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
125,xAPI,male,10,D,0,6,4,15,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
126,xAPI,male,12,D,12,30,0,17,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
127,xAPI,female,11,C,2,9,7,55,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
128,xAPI,male,11,C,55,33,6,9,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
129,xAPI,male,10,D,12,10,20,16,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
130,xAPI,male,11,A,70,90,2,2,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
131,xAPI,female,12,D,7,9,5,30,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
132,xAPI,male,10,A,80,42,20,50,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
133,xAPI,male,10,D,0,3,10,3,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
134,xAPI,male,11,B,12,60,0,70,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
135,xAPI,male,15,A,80,80,15,70,under-7,middleschool,quran,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
136,xAPI,female,15,A,70,80,95,70,under-7,middleschool,quran,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
